run,K,sw,lambda,T,B,Z,zone_len_min,zone_len_max,zone_len_mean,change_points_count,merged_zones_count,total_F,total_R,F_ratio,F_mean_per_block,F_std_per_block,R_mean_per_block,cost_mean_per_block,cost_std_per_block,cost_sum_all_blocks,k_mean,k1_count,k2_count,k3_count,k4_count,I_cut_mean,I_cut_std,I_l1cos_mean,I_l1cos_std,Delta_abs_mean,Delta_abs_max
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,250,28,11,2,124,22.727272727272727,15,11,1997,5003,0.2853,71.32,21.687807,178.68,1.490853,0.460887,41.743892,3.363636,8,79,14,207,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0018107584533293816,0.08188251430964658
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,250,28,11,2,124,22.727272727272727,15,11,1877,5123,0.2681,67.04,0.185577,182.96,2.446724,0.479625,68.508286,3.409091,1,83,13,211,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0018107584533293816,0.08188251430964658
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,250,28,11,2,124,22.727272727272727,15,11,1876,5124,0.268,67.0,0.0,183.0,4.337676,0.496667,121.454922,3.412338,0,84,13,211,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0018107584533293816,0.08188251430964658
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,250,28,15,2,83,16.666666666666668,20,15,2050,4950,0.2929,73.21,21.13115,176.79,1.994176,0.634635,55.836918,3.454762,10,79,41,290,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0018107584533293816,0.08188251430964658
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,250,28,15,2,83,16.666666666666668,20,15,1933,5067,0.2761,69.04,0.185577,180.96,3.247688,0.661339,90.935263,3.5,1,83,41,295,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0018107584533293816,0.08188251430964658
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,250,28,15,2,83,16.666666666666668,20,15,1932,5068,0.276,69.0,0.0,181.0,5.727096,0.678521,160.358687,3.502381,0,84,41,295,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0018107584533293816,0.08188251430964658
