run,K,sw,lambda,zone_id,t_start,t_end,length,candidate_k,k1_count,k2_count,k3_count,k4_count,selected_k_mean,selected_J_mean,selected_J_std,selected_k_per_block
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,0,249,248,2,1;2,0,28,0,0,2.0,0.15389524,0.02583041,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,1,247,223,25,1;2;3;4,0,0,0,28,4.0,0.1126624,0.03789576,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,2,222,218,5,1;2;3;4,0,0,13,15,3.5,0.13758495,0.03349065,3;3;4;4;3;4;3;3;4;4;4;4;3;4;3;3;4;4;4;4;4;4;3;3;3;3;4;3
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,3,217,216,2,1;2,0,28,0,0,2.0,0.1574234,0.0302078,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,4,215,209,7,1;2;3;4,0,0,0,28,4.0,0.11852567,0.04288768,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,5,208,179,30,1;2;3;4,0,0,0,28,4.0,0.11990129,0.04835817,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,6,178,155,24,1;2;3;4,0,0,1,27,4.0,0.12235854,0.05176217,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,7,154,134,21,1;2;3;4,1,0,0,27,3.9,0.13219091,0.05021525,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,8,133,126,8,1;2;3;4,1,0,0,27,3.9,0.12853784,0.05316254,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,9,125,2,124,1;2;3;4,1,0,0,27,3.9,0.12712449,0.05292422,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,10,1,0,2,1;2,5,23,0,0,1.8,0.18064857,0.04471701,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,0,249,248,2,1;2,0,28,0,0,2.0,0.27889524,0.02583041,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,1,247,223,25,1;2;3;4,0,0,0,28,4.0,0.1826624,0.03789576,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,2,222,218,5,1;2;3;4,0,0,13,15,3.5,0.23758495,0.03349065,3;3;4;4;3;4;3;3;4;4;4;4;3;4;3;3;4;4;4;4;4;4;3;3;3;3;4;3
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,3,217,216,2,1;2,0,28,0,0,2.0,0.2824234,0.0302078,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,4,215,209,7,1;2;3;4,0,0,0,28,4.0,0.18995425,0.04288768,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,5,208,179,30,1;2;3;4,0,0,0,28,4.0,0.18656796,0.04835817,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,6,178,155,24,1;2;3;4,0,0,0,28,4.0,0.18486319,0.05177336,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,7,154,134,21,1;2;3;4,0,0,0,28,4.0,0.20368803,0.05037707,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,8,133,126,8,1;2;3;4,0,0,0,28,4.0,0.19129749,0.05376945,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,9,125,2,124,1;2;3;4,0,0,0,28,4.0,0.19077297,0.05584645,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,10,1,0,2,1;2,1,27,0,0,2.0,0.31801461,0.06845566,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,0,249,248,2,1;2,0,28,0,0,2.0,0.52889524,0.02583041,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,1,247,223,25,1;2;3;4,0,0,0,28,4.0,0.3226624,0.03789576,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,2,222,218,5,1;2;3;4,0,0,13,15,3.5,0.43758495,0.03349065,3;3;4;4;3;4;3;3;4;4;4;4;3;4;3;3;4;4;4;4;4;4;3;3;3;3;4;3
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,3,217,216,2,1;2,0,28,0,0,2.0,0.5324234,0.0302078,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,4,215,209,7,1;2;3;4,0,0,0,28,4.0,0.33281139,0.04288768,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,5,208,179,30,1;2;3;4,0,0,0,28,4.0,0.31990129,0.04835817,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,6,178,155,24,1;2;3;4,0,0,0,28,4.0,0.30986319,0.05177336,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,7,154,134,21,1;2;3;4,0,0,0,28,4.0,0.34654517,0.05037707,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,8,133,126,8,1;2;3;4,0,0,0,28,4.0,0.31629749,0.05376945,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,9,125,2,124,1;2;3;4,0,0,0,28,4.0,0.31577297,0.05584645,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,10,1,0,2,1;2,0,28,0,0,2.0,0.57491831,0.09211823,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,0,249,248,2,1;2,0,28,0,0,2.0,0.15389524,0.02583041,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,1,247,233,15,1;2;3;4,0,0,0,28,4.0,0.10979949,0.03806497,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,2,232,223,10,1;2;3;4,0,0,0,28,4.0,0.11693188,0.03764204,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,3,222,218,5,1;2;3;4,0,0,13,15,3.5,0.13758495,0.03349065,3;3;4;4;3;4;3;3;4;4;4;4;3;4;3;3;4;4;4;4;4;4;3;3;3;3;4;3
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,4,217,216,2,1;2,0,28,0,0,2.0,0.1574234,0.0302078,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,5,215,212,4,1;2;3;4,0,0,0,28,4.0,0.11151517,0.04459963,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,6,211,209,3,1;2;3,0,0,28,0,3.0,0.12787302,0.04068406,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,7,208,180,29,1;2;3;4,0,0,0,28,4.0,0.121412,0.04769236,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,8,179,155,25,1;2;3;4,0,0,0,28,4.0,0.12743394,0.04981612,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,9,154,134,21,1;2;3;4,1,0,0,27,3.9,0.13219091,0.05021525,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,10,133,126,8,1;2;3;4,1,0,0,27,3.9,0.12853784,0.05316254,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,11,125,43,83,1;2;3;4,1,0,0,27,3.9,0.12829485,0.05277842,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,12,42,9,34,1;2;3;4,1,0,0,27,3.9,0.12816354,0.05211489,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,13,8,2,7,1;2;3;4,1,0,0,27,3.9,0.13247083,0.05173032,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4
sweep_K20_sw3_lam0.25_kmax4,20,3,0.25,14,1,0,2,1;2,5,23,0,0,1.8,0.18064857,0.04471701,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,0,249,248,2,1;2,0,28,0,0,2.0,0.27889524,0.02583041,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,1,247,233,15,1;2;3;4,0,0,0,28,4.0,0.17646615,0.03806497,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,2,232,223,10,1;2;3;4,0,0,0,28,4.0,0.19193188,0.03764204,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,3,222,218,5,1;2;3;4,0,0,13,15,3.5,0.23758495,0.03349065,3;3;4;4;3;4;3;3;4;4;4;4;3;4;3;3;4;4;4;4;4;4;3;3;3;3;4;3
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,4,217,216,2,1;2,0,28,0,0,2.0,0.2824234,0.0302078,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,5,215,212,4,1;2;3;4,0,0,0,28,4.0,0.17401517,0.04459963,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,6,211,209,3,1;2;3,0,0,28,0,3.0,0.21120635,0.04068406,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,7,208,180,29,1;2;3;4,0,0,0,28,4.0,0.19037752,0.04769236,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,8,179,155,25,1;2;3;4,0,0,0,28,4.0,0.19743394,0.04981612,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,9,154,134,21,1;2;3;4,0,0,0,28,4.0,0.20368803,0.05037707,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,10,133,126,8,1;2;3;4,0,0,0,28,4.0,0.19129749,0.05376945,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,11,125,43,83,1;2;3;4,0,0,0,28,4.0,0.19238414,0.05484526,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,12,42,9,34,1;2;3;4,0,0,0,28,4.0,0.19598848,0.05648914,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,13,8,2,7,1;2;3;4,0,0,0,28,4.0,0.20598061,0.05729029,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K20_sw3_lam0.5_kmax4,20,3,0.5,14,1,0,2,1;2,1,27,0,0,2.0,0.31801461,0.06845566,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,0,249,248,2,1;2,0,28,0,0,2.0,0.52889524,0.02583041,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,1,247,233,15,1;2;3;4,0,0,0,28,4.0,0.30979949,0.03806497,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,2,232,223,10,1;2;3;4,0,0,0,28,4.0,0.34193188,0.03764204,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,3,222,218,5,1;2;3;4,0,0,13,15,3.5,0.43758495,0.03349065,3;3;4;4;3;4;3;3;4;4;4;4;3;4;3;3;4;4;4;4;4;4;3;3;3;3;4;3
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,4,217,216,2,1;2,0,28,0,0,2.0,0.5324234,0.0302078,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,5,215,212,4,1;2;3;4,0,0,0,28,4.0,0.29901517,0.04459963,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,6,211,209,3,1;2;3,0,0,28,0,3.0,0.37787302,0.04068406,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,7,208,180,29,1;2;3;4,0,0,0,28,4.0,0.32830855,0.04769236,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
