run,K,sw,lambda,T,B,Z,zone_len_min,zone_len_max,zone_len_mean,change_points_count,merged_zones_count,total_F,total_R,F_ratio,F_mean_per_block,F_std_per_block,R_mean_per_block,cost_mean_per_block,cost_std_per_block,cost_sum_all_blocks,k_mean,k1_count,k2_count,k3_count,k4_count,I_cut_mean,I_cut_std,I_l1cos_mean,I_l1cos_std,Delta_abs_mean,Delta_abs_max
baseline_p1_K20_sw5_lam1.0_kmax4,20,5,1.0,250,28,14,2,124,17.857142857142858,20,14,1876,5124,0.268,67.0,0.0,183.0,5.107022,0.637625,142.996626,3.561224,0,28,116,248,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.001520954782843592,0.04922228217101873
baseline_p2_K20_sw3_lam1.0_kmax4,20,3,1.0,250,28,15,2,83,16.666666666666668,20,15,1932,5068,0.276,69.0,0.0,181.0,5.727096,0.678521,160.358687,3.502381,0,84,41,295,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0018107584533293816,0.08188251430964658
baseline_p3_K25_sw5_lam1.0_kmax4,25,5,1.0,250,28,17,2,105,14.705882352941176,25,17,1932,5068,0.276,69.0,0.0,181.0,6.142865,0.790987,172.000221,3.655462,0,28,108,340,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.001520954782843592,0.04922228217101873
